Date,adidas AG,ALLIANZ SE-REG,AIRBUS SE,BASF SE,BAYER AG-REG,BEIERSDORF AG,BAYERISCHE MOTOREN WERKE AG_,BRENNTAG SE,COMMERZBANK AG,CONTINENTAL AG,COVESTRO AG,MERCEDES-BENZ GROUP AG,DAIMLER TRUCK HOLDING AG,DELIVERY HERO SE,DEUTSCHE BANK AG-REGISTERED,Deutsche Boerse AG_,Deutsche Post AG,DEUTSCHE TELEKOM AG-REG,E.ON SE,FRESENIUS SE & CO KGAA,FRESENIUS MEDICAL CARE AG &,HANNOVER RUECK SE,HEIDELBERGCEMENT AG,HELLOFRESH SE,Henkel AG & Co KGaA,INFINEON TECHNOLOGIES AG,MUENCHENER RUECKVER AG-REG,MTU AERO ENGINES AG,DR ING HC F PORSCHE AG,PUMA SE,QIAGEN N.V.,RHEINMETALL AG,RWE AG,SAP AG,SARTORIUS AG-VORZUG,SIEMENS AG-REG,SIEMENS HEALTHINEERS AG,SIEMENS ENERGY AG,SYMRISE AG,VONOVIA SE,VOLKSWAGEN AG-PREF,ZALANDO SE
2023-01-30,0.0,0.0,-0.8333333333333334,1.0,0.525,0.07142857142857142,0.11904761904761905,0.0,0.0,-1.0,1.0,0.0,0.9285714285714286,-0.9375,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0925925925925926,0.0,0.0,1.0,0.0,0.875,0.0,1.0,-0.047619047619047616,0.0
2023-01-31,0.5833333333333334,-1.0,-0.625,0.0,0.5925925925925926,-1.0,0.16666666666666669,0.0,0.0,0.0,1.0,0.1111111111111111,0.0,-0.9444444444444444,1.0,0.0,0.5714285714285714,0.0,0.0,-1.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,-0.03333333333333333,0.0,0.0,0.6666666666666667,0.0,1.0,0.0,-0.71875,0.9285714285714286,0.0
2023-02-01,0.0,0.0,-1.0,0.0,0.0,1.0,0.30000000000000004,0.0,0.0,-0.09375,0.0,-1.0,0.619047619047619,-1.0,0.0,0.0,-0.2916666666666667,0.0,0.9444444444444444,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,-0.21875,0.0,0.0,1.0,0.0,-1.0,0.0,-0.9375,-0.25,0.0
2023-02-02,0.20833333333333334,0.0,0.5,1.0,1.0,0.0,0.0,0.0,0.0,0.0,-0.9375,0.33333333333333337,0.0,0.0,-0.23214285714285715,0.0,0.0,0.9047619047619048,-0.9166666666666666,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.16666666666666666,0.0,0.0,0.0,0.0,0.25,0.0,-0.3333333333333333,0.4375,0.0
2023-02-03,0.0,1.0,0.0,-0.2962962962962963,0.9166666666666666,0.0625,0.0,0.0,0.0,1.0,1.0,-0.8928571428571429,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,-0.09523809523809523,0.0,0.0,0.6666666666666666,0.0,-0.175,0.0,-0.375,-0.5,0.0
2023-02-06,0.9523809523809524,0.0,0.0,0.96875,0.14285714285714285,-1.0,0.0,0.0,0.0,0.0,0.0,-0.5,0.0,0.0,-0.9523809523809524,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,-0.1111111111111111,0.0,0.0,0.8518518518518519,0.0,0.0,0.0,0.0,-0.9583333333333334,0.0
2023-02-07,0.0,0.0,0.0,-0.5925925925925926,1.0,-1.0,0.0,0.0,0.19047619047619047,0.0,1.0,0.0,1.0,-1.0,-0.5,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.8095238095238095,0.0,0.0,0.0,-0.425,0.125,0.0,0.2424242424242424,0.0,-0.3333333333333333,0.0,0.0,-0.7857142857142857,0.0
2023-02-08,1.0,1.0,0.0,0.0,0.9375,0.0,0.12698412698412698,0.0,1.0,1.0,0.0,-0.9285714285714286,0.0,0.0,0.5,0.0,-1.0,0.875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8888888888888888,1.0,0.0,0.0,0.0763888888888889,0.5,0.0,0.14814814814814814,0.0,-0.5,0.0,0.0,0.5416666666666666,0.0
2023-02-09,0.0,0.0,-0.4642857142857143,-0.3333333333333333,0.05555555555555555,0.0,0.1358024691358025,0.0,-1.0,1.0,0.0,0.35714285714285715,0.0,0.0625,-0.05555555555555555,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,-0.3333333333333333,0.0,0.0,0.0,0.0,0.9523809523809524,0.0,0.0,0.0,-0.42592592592592593,1.0,0.0,0.8055555555555556,0.375,-0.5,0.0,0.0,0.2,0.0
2023-02-10,0.0,0.0,0.0,0.5,1.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.03571428571428571,0.0,0.0,-0.42857142857142855,0.875,0.0,0.19047619047619047,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.7428571428571429,0.0,0.0,0.0,0.5925925925925926,0.2380952380952381,0.0,0.42857142857142855,0.0,-1.0,0.0,0.0,0.375,0.0
